facility,lot,operation,test_end_date,tester_id,program_name,prodgroup3,visual_id,tray_or_carrier_id,ws_loss_code,entity,bond_station,carrier_x,carrier_y,lane_number,subplaneanglex,subplaneangley,Entity_BS_X_Y
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500104,64,,DIA003,3,3,0,1,81.5146,-39.6307,DIA003_3_3_0
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500105,56,,DIA003,1,5,2,1,-106.458,169.595,DIA003_1_5_2
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500106,56,,DIA003,1,4,0,1,-28.2286,-36.8098,DIA003_1_4_0
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500107,64,,DIA003,3,1,2,1,-32.8644,-91.2003,DIA003_3_1_2
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500108,56,,DIA003,1,3,0,1,77.6306,-48.1952,DIA003_1_3_0
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500109,56,,DIA003,1,2,1,1,-29.6284,-30.1407,DIA003_1_2_1
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500110,64,,DIA003,3,0,2,1,3.11262,50.2202,DIA003_3_0_2
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500111,56,,DIA003,1,3,1,1,101.264,77.3984,DIA003_1_3_1
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500112,56,,DIA003,1,0,1,1,36.4311,12.2422,DIA003_1_0_1
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500113,64,,DIA003,3,0,0,1,146.763,256.244,DIA003_3_0_0
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500114,56,,DIA003,1,1,1,1,32.6895,-72.3464,DIA003_1_1_1
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500115,56,,DIA003,1,6,1,1,-21.5852,-7.80702,DIA003_1_6_1
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500116,64,,DIA003,3,1,0,1,-50.9947,194.476,DIA003_3_1_0
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500117,56,,DIA003,1,4,1,1,106.245,-12.1955,DIA003_1_4_1
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500118,64,,DIA003,3,2,2,1,30.3338,31.163,DIA003_3_2_2
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500119,64,,DIA003,3,5,0,1,-35.2962,-178.008,DIA003_3_5_0
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500120,56,,DIA003,1,5,1,1,-170.871,-29.1198,DIA003_1_5_1
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500121,4,,DIA003,1,1,1,1,-30.3987,-91.6772,DIA003_1_1_1
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500122,3,,DIA003,3,4,2,1,-49.0271,-64.6527,DIA003_3_4_2
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500123,4,,DIA003,1,2,1,1,-10.966,-79.5412,DIA003_1_2_1
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500124,4,,DIA003,1,6,2,1,79.2366,231.182,DIA003_1_6_2
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500125,3,,DIA003,3,4,0,1,30.9478,31.5431,DIA003_3_4_0
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500126,4,,DIA003,1,3,1,1,82.8374,-41.2312,DIA003_1_3_1
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500127,4,,DIA003,1,5,1,1,-119.11,-24.7078,DIA003_1_5_1
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500128,3,,DIA003,3,3,2,1,-33.9262,-43.3588,DIA003_3_3_2
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500129,4,,DIA003,1,6,1,1,-109.324,-40.7374,DIA003_1_6_1
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500130,3,,DIA003,3,2,2,1,-95.279,119.759,DIA003_3_2_2
